,model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost,0.45,0.002001047134399414,0.22298073768615723,0.002001047134399414,0.22298073768615723,1,True,11
1,WeightedEnsemble_L2,0.45,0.002001047134399414,0.36707568168640137,0.0,0.14409494400024414,2,True,14
2,CatBoost,0.4,0.0,0.6050057411193848,0.0,0.6050057411193848,1,True,8
3,LightGBMLarge,0.4,0.0010001659393310547,0.3415520191192627,0.0010001659393310547,0.3415520191192627,1,True,13
4,LightGBMXT,0.4,0.0010004043579101562,0.1609337329864502,0.0010004043579101562,0.1609337329864502,1,True,4
5,ExtraTreesGini,0.4,0.02298569679260254,0.3327066898345947,0.02298569679260254,0.3327066898345947,1,True,9
6,ExtraTreesEntr,0.4,0.02300119400024414,0.33454084396362305,0.02300119400024414,0.33454084396362305,1,True,10
7,LightGBM,0.35,0.0010006427764892578,0.19348645210266113,0.0010006427764892578,0.19348645210266113,1,True,5
8,NeuralNetFastAI,0.35,0.004003763198852539,0.3709244728088379,0.004003763198852539,0.3709244728088379,1,True,3
9,NeuralNetTorch,0.3,0.004000186920166016,0.3080012798309326,0.004000186920166016,0.3080012798309326,1,True,12
10,RandomForestGini,0.3,0.023916244506835938,0.36888575553894043,0.023916244506835938,0.36888575553894043,1,True,6
11,RandomForestEntr,0.3,0.023957490921020508,0.34111785888671875,0.023957490921020508,0.34111785888671875,1,True,7
12,KNeighborsUnif,0.1,0.001956462860107422,0.002996683120727539,0.001956462860107422,0.002996683120727539,1,True,1
13,KNeighborsDist,0.05,0.0010421276092529297,0.0039844512939453125,0.0010421276092529297,0.0039844512939453125,1,True,2
