,model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,0.55,0.07000207901000977,1.0471844673156738,0.0,0.27815985679626465,2,True,14
1,LightGBMXT,0.45,0.0009999275207519531,0.17992663383483887,0.0009999275207519531,0.17992663383483887,1,True,4
2,NeuralNetTorch,0.45,0.006005764007568359,0.6305458545684814,0.006005764007568359,0.6305458545684814,1,True,12
3,CatBoost,0.4,0.0009951591491699219,0.48561882972717285,0.0009951591491699219,0.48561882972717285,1,True,8
4,LightGBM,0.4,0.002000093460083008,0.18699955940246582,0.002000093460083008,0.18699955940246582,1,True,5
5,NeuralNetFastAI,0.4,0.009891033172607422,0.6244995594024658,0.009891033172607422,0.6244995594024658,1,True,3
6,LightGBMLarge,0.35,0.0009987354278564453,0.3697943687438965,0.0009987354278564453,0.3697943687438965,1,True,13
7,KNeighborsUnif,0.35,0.0020029544830322266,0.00500035285949707,0.0020029544830322266,0.00500035285949707,1,True,1
8,XGBoost,0.35,0.004245758056640625,0.2841029167175293,0.004245758056640625,0.2841029167175293,1,True,11
9,ExtraTreesEntr,0.35,0.06900954246520996,0.5895609855651855,0.06900954246520996,0.5895609855651855,1,True,10
10,KNeighborsDist,0.3,0.0020008087158203125,0.004994869232177734,0.0020008087158203125,0.004994869232177734,1,True,2
11,ExtraTreesGini,0.3,0.06900215148925781,0.5890979766845703,0.06900215148925781,0.5890979766845703,1,True,9
12,RandomForestEntr,0.3,0.07610726356506348,0.5952413082122803,0.07610726356506348,0.5952413082122803,1,True,7
13,RandomForestGini,0.25,0.06663250923156738,0.6552910804748535,0.06663250923156738,0.6552910804748535,1,True,6
